state,county,tract,med_house_val,med_room,med_yrBuilt,r_se_nat,r_ed_nat,lfpr,r_he_nat,jobs_idx,schl_idx,ur,pct_ba,pct_hs,pop,white,black,CBSA,area
39,85,205100,342000,8.4,1998,97,76,0.631887664,91,26.3151751,75.15515564,0.041068917,0.484606391,0.497466875,6891,6680,6,17460,34769057
39,85,205200,214400,6.9,1978,92,69,0.665384615,90,4.404242238,73,0.013872832,0.201019975,0.737356566,3065,3001,52,17460,65765021
39,85,205300,186300,7.2,1984,84,57,0.677198526,80,3.547523962,81.52476038,0.029548989,0.244279176,0.707665904,2344,2297,10,17460,21770117
39,85,205400,172500,6.6,1988,68,63,0.668181818,75,6,87,0.027334852,0.211072664,0.715397924,1680,1554,10,17460,5658257
39,85,205701,137500,5.8,1980,38,38,0.615189873,42,5.352,69.26461538,0.025514403,0.174898315,0.738524114,4771,4695,58,17460,17419962
39,85,205702,127500,6.1,1962,44,24,0.703541584,52,0,72,0.07239819,0.119395941,0.781500708,3314,3178,58,17460,3239271
39,85,205800,178300,7.1,1966,73,48,0.715779468,71,2,44,0.041168659,0.294759825,0.641921397,1267,1233,0,17460,28648644
39,85,205900,167800,6.9,1961,71,55,0.544247788,49,12,44,0.012195122,0.269183922,0.609013398,1066,1001,38,17460,26105461
39,85,206000,111800,5.7,1969,56,42,0.57665424,67,3.176470588,72,0.055353535,0.139864267,0.754499852,5172,5046,19,17460,23602659
39,85,206100,154200,6.2,1974,80,46,0.667760459,62,2,44,0.01044226,0.222374429,0.693607306,3172,3055,59,17460,12962505
39,85,206200,148000,6.1,1972,56,47,0.67512275,45,27,73,0.047735618,0.2109375,0.681423611,1476,1335,19,17460,6792872
39,85,206300,179600,6.7,1972,65,57,0.622709677,80,26.85471854,82.93874172,0.053046001,0.234708809,0.668715247,4929,4433,37,17460,32977384
39,85,206400,306100,7.8,1972,93,55,0.609353508,88,49.52244203,84.89406509,0.021670429,0.450735064,0.520175164,4580,4508,31,17460,38599800
39,85,206500,212400,5.8,1985,72,82,0.603576248,29,89.80939775,78.66247518,0.029625489,0.35,0.568503937,3594,3116,78,17460,17367388
39,85,206600,116300,6,1957,41,57,0.657723365,55,32.40500107,32.31075016,0.078811881,0.198648252,0.731707317,4815,4286,365,17460,2637244
39,93,10200,221400,7.2,1974,88,91,0.70327921,53,14.96555764,83.08809747,0.018107741,0.43000358,0.53669889,3959,3926,18,17460,4337885
